Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/almg/books/g1/1,52,52,3100.0,5200.354210711549,3054.690139999934,21576.414540999962,120.0,0.4833992342079153,0.4833992342079153,3100,3100,6100,6100,6200,22000,22000,22000,22000,22000,22000
GET,/api/almg/books/g2/1,56,56,3100.0,4387.322886696428,3044.1731259999187,21561.17330500001,120.0,0.5205837906854472,0.5205837906854472,3100,3100,6100,6100,6100,6200,22000,22000,22000,22000,22000
GET,/api/almg/books/g3/1,40,40,3100.0,4914.574912600008,3051.0467889999973,21570.620351999936,120.0,0.3718455647753195,0.3718455647753195,3100,6100,6100,6100,6200,6200,22000,22000,22000,22000,22000
GET,/api/almg/books/g4/1,53,53,3100.0,4170.48171037736,3042.956100999959,21573.604842999997,120.0,0.4926953733272983,0.4926953733272983,3100,3100,3100,3100,6100,6200,22000,22000,22000,22000,22000
GET,/api/almg/books/g5/1,29,29,3100.0,4870.304103896568,3055.7381670000723,21568.03485599994,120.0,0.2695880344621066,0.2695880344621066,3100,6100,6100,6100,6100,6100,22000,22000,22000,22000,22000
,Aggregated,230,230,3100.0,4673.764551213052,3042.956100999959,21576.414540999962,120.0,2.138111997458087,2.138111997458087,3100,3100,6100,6100,6100,6200,22000,22000,22000,22000,22000
