Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/almg/books/g1/1,8109,0,23,58.675751992970994,6.021648000000823,18190.172146000008,54.0,28.879575696069523,0.0,23,27,31,34,42,53,77,2200,3100,18000,18000
GET,/api/almg/books/g2/1,8168,0,23,68.61528426885404,6.179668000015681,18268.55734,54.0,29.089699628252045,0.0,23,28,32,35,45,58,91,2200,3100,18000,18000
GET,/api/almg/books/g3/1,8172,0,22,83.3162769492164,5.762567000033414,29997.531783999988,54.0,29.103945318569508,0.0,22,27,30,33,43,55,86,2200,3100,30000,30000
GET,/api/almg/books/g4/1,8028,0,23,41.57623488938724,6.1160610000001725,18286.493133999982,54.0,28.59110046714097,0.0,23,27,31,33,42,52,68,80,3100,18000,18000
GET,/api/almg/books/g5/1,8159,0,22,87.60661377055992,6.197885999995378,29991.914000999997,54.0,29.057646825037764,0.0,22,27,30,33,43,55,82,2300,18000,30000,30000
,Aggregated,40636,0,23,68.0595606234371,5.762567000033414,29997.531783999988,54.0,144.7219679350698,0.0,23,27,31,34,43,54,77,2200,3100,30000,30000
